DateTime,gen-1,gen-2,gen-4,gen-5,gen-solar,Demanda_Total_MW
2024-01-01T00:00:00.0,9.88619250605035,41.47697255452363,28.40883520235659,0.0,0.0,79.77200026293056
2024-01-01T01:00:00.0,5.712080485692431,34.5201095708347,22.445810234210157,0.0,0.0,62.67800029073729
2024-01-01T02:00:00.0,5.712080485692431,34.5201095708347,22.445810234210157,0.0,0.0,62.67800029073729
2024-01-01T03:00:00.0,5.712080485692431,34.5201095708347,22.445810234210157,0.0,0.0,62.67800029073729
2024-01-01T04:00:00.0,9.88619250605035,41.47697255452363,28.40883520235659,0.0,0.0,79.77200026293056
2024-01-01T05:00:00.0,17.538737823502107,54.23121717117909,39.34104521848138,0.0,0.0,111.11100021316258
2024-01-01T06:00:00.0,24.09245085143898,65.15406065281516,48.70348870681052,0.0,4.500000386515484,142.45000059758016
2024-01-01T07:00:00.0,40.883015467347875,71.99999383218139,59.99999076588294,0.0,18.000000499856235,190.88300056526845
2024-01-01T08:00:00.0,32.628175489747946,71.99998045260783,59.99984418956371,0.0,40.50000044986546,205.12800058178496
2024-01-01T09:00:00.0,24.0138228231322,65.02301433670537,48.59116305201863,0.0,67.50000038586396,205.12800059772016
2024-01-01T10:00:00.0,8.487495738997348,39.145809294504616,26.410695367246937,0.0,85.50000022283334,159.54400062358224
2024-01-01T11:00:00.0,7.061626305309666e-5,22.883960282041816,12.471970605444103,0.0,89.99999913445016,125.35600063819913
2024-01-01T12:00:00.0,0.0,4.016961758141749,3.410479230348688e-5,0.0,89.99999856994457,94.01699443287862
2024-01-01T13:00:00.0,0.0,0.0,0.0,0.0,79.77199700866103,79.77199700866103
2024-01-01T14:00:00.0,0.0,0.0,0.0,0.0,62.67799700866051,62.67799700866051
2024-01-01T15:00:00.0,1.544805252145223e-5,15.788139432455834,6.389845785791599,0.0,40.49999997792756,62.67800064422751
2024-01-01T16:00:00.0,5.49084840375277,34.15138844852067,22.129763595058126,0.0,18.000000180864024,79.77200062819558
2024-01-01T17:00:00.0,16.439900546669527,52.39982200260324,37.77127774563828,0.0,4.500000315854429,111.11100061076547
2024-01-01T18:00:00.0,25.191290374480985,66.98545201479457,50.27325777563847,0.0,0.0,142.45000016491403
2024-01-01T19:00:00.0,41.78901404180677,71.99999431007515,59.99999171309038,0.0,0.0,173.7890000649723
2024-01-01T20:00:00.0,90.22200081656464,71.99999953424376,59.99999943857755,0.0,0.0,222.22199978938596
2024-01-01T21:00:00.0,100.00000078067764,72.0000008130596,60.00000081158733,52.899996681028874,0.0,284.89999908635343
2024-01-01T22:00:00.0,100.00000078067764,72.0000008130596,60.00000081158733,52.899996681028874,0.0,284.89999908635343
2024-01-01T23:00:00.0,25.191290374480985,66.98545201479457,50.27325777563847,0.0,0.0,142.45000016491403
