Hora,V_Barra3,Q_STATCOM_MVAr,Saturado
0,1.0,-1546.1252721139062,true
1,1.0,-1369.0467187069848,true
2,1.0,-1369.046380294058,true
3,1.0,-1369.0454899684325,true
4,1.0,-1546.119222637567,true
5,1.0,-1053.4811192792656,true
6,1.0,-1245.639004750517,true
7,1.0,-1608.210977621408,true
8,1.0,-1691.4348115312976,true
9,1.0,-1691.4383909700493,true
10,1.0,-2480.9857732818323,true
11,1.0,-3052.6194497345955,true
12,1.0,-2894.2152279188417,true
13,1.0,-2805.509941551435,true
14,1.0,-2685.1914344547313,true
15,1.0,-2685.187515061129,true
16,1.0,-2303.9334903025765,true
17,1.0,-1200.6363075762572,true
18,1.0,-327.82636694557317,true
19,1.0,424.5288125809321,true
20,1.0,357.8753884870608,true
21,1.0,2522.6762211722903,true
22,1.0,2522.6762211759306,true
23,1.0,81.608818705027,true
